schema_version,external_id,question_revision,lesson_id,lesson_code,subtopic_id,subtopic_code,secondary_subtopic_ids,question_type,stem,stem_locale,option_a,option_b,option_c,option_d,option_locale,correct_option,full_explanation,explanation_a,explanation_b,explanation_c,explanation_d,explanation_locale,misconception_a_id,misconception_b_id,misconception_c_id,misconception_d_id,difficulty,difficulty_score_initial,difficulty_model_version,status,source_type,source_ref,author_id,reviewer_id,tags,media_type,media_uri,media_alt_text,media_transcript,media_source_ref,taxonomy_version,question_type_catalogue_version,compatibility_version,distractor_rules_version,content_version
question-import-schema-v0.9.0,GMP-FULL-B167-Q005,1,7a66cb3a-470c-4ae3-ae32-325cf327c9f9,L37,ffa4a61a-e05e-417b-a5e6-168c69de6a8f,L37-S05,,CLOZE_SINGLE,"À l’accueil d’un centre de langues, complétez la règle appliquée à « Marcher est bon pour la santé » : devant l’infinitif sujet, on met ___. Le coordinateur de séance note la construction retenue dans son carnet.",fr,aucune préposition,de,à,pour,fr,A,"Quand l’infinitif lui-même sert de sujet ou exprime une activité générale, il n’est pas précédé d’une préposition : « Marcher, courir, bouger est bon pour la santé. »","Correct. Quand l’infinitif lui-même sert de sujet ou exprime une activité générale, il n’est pas précédé d’une préposition : « Marcher, courir, bouger est bon pour la santé. »",Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,fr,,dc47e5ff-43db-5a27-9a09-2a966c4a5dbb,6f7a6d6a-ab84-5713-bc77-97e125a14e0e,805e93ad-2220-5cb3-82ae-d11014fb0a47,HARD,0.70,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 37; printed p. 160; PDF p. 162,chatgpt-qb-runner-v1.0,,TAG023|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B167-Q006,1,7a66cb3a-470c-4ae3-ae32-325cf327c9f9,L37,a22f7994-4792-420b-bb49-d752095e75e7,L37-S01,,CLOZE_SINGLE,"Au cours d’une préparation de conférence, complétez : « Nous allons essayer ___ résoudre ce problème. » Quelle forme respecte la construction du livre ? Une membre de l’équipe note la construction retenue dans son carnet.",fr,à,de,pour,∅ (aucune préposition),fr,B,"Plusieurs verbes courants imposent lexicalement « de + infinitif » : accepter de, arrêter de, décider de, essayer de, finir de, oublier de, refuser de, regretter de, rêver de, s’arrêter de, se dépêcher de.",Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,"Correct. Plusieurs verbes courants imposent lexicalement « de + infinitif » : accepter de, arrêter de, décider de, essayer de, finir de, oublier de, refuser de, regretter de, rêver de, s’arrêter de, se dépêcher de.",Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,fr,e36096be-b783-599a-9a6d-252704705116,,50415b1c-ce1d-5610-b266-c14d6ea508cb,593ead56-d46f-5915-a1e7-3cc691cc91b5,VERY_HARD,0.90,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 37; printed p. 160; PDF p. 162,chatgpt-qb-runner-v1.0,,TAG023|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B167-Q007,1,7a66cb3a-470c-4ae3-ae32-325cf327c9f9,L37,43f5d0f3-32de-4e07-87d7-2f23f9fd82ba,L37-S02,,CLOZE_CONTEXT,"Dans un atelier de réparation communautaire, une personne dit : « Je vais arriver ___ terminer à temps. » Quelle complétion est grammaticalement attendue ? Le formateur du jour note la construction retenue dans son carnet.",fr,de,pour,à,∅ (aucune préposition),fr,C,"Plusieurs verbes courants imposent lexicalement « à + infinitif » : apprendre à, aider quelqu’un à, arriver à, chercher à, commencer à, continuer à, hésiter à, inviter quelqu’un à, réussir à, se mettre à.",Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,"Correct. Plusieurs verbes courants imposent lexicalement « à + infinitif » : apprendre à, aider quelqu’un à, arriver à, chercher à, commencer à, continuer à, hésiter à, inviter quelqu’un à, réussir à, se mettre à.",Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,fr,463f84ab-4dd3-52f7-891b-b1dc9ae4fce0,f37749e4-1c0a-571c-a2c9-af6363d36984,,a8531911-41fe-514c-a4f5-e70ecdaa4df3,EASY,0.20,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 37; printed p. 160; PDF p. 162,chatgpt-qb-runner-v1.0,,TAG023|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B167-Q008,1,7a66cb3a-470c-4ae3-ae32-325cf327c9f9,L37,efee7130-8410-42d5-b69e-3236ccdea740,L37-S03,,CLOZE_CONTEXT,"Pendant une visite guidée en entreprise, une personne dit : « Je vais être heureux ___ recevoir cette nouvelle. » Quelle complétion est grammaticalement attendue ? Une personne accueillie note la construction retenue dans son carnet.",fr,à,∅,pour,de,fr,D,"Après certains adjectifs et noms on emploie souvent « de » (content de, heureux de, pressé de, envie de, peur de, habitude de), tandis que des constructions comme prêt à, habitué à, avoir du mal à, avoir tendance à exigent « à ».",Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,"Correct. Après certains adjectifs et noms on emploie souvent « de » (content de, heureux de, pressé de, envie de, peur de, habitude de), tandis que des constructions comme prêt à, habitué à, avoir du mal à, avoir tendance à exigent « à ».",fr,19ef3561-b32d-5302-b285-3aec35a14491,2d29b163-0748-5be0-af0b-c913b1c28b6e,fa050066-5bb3-5cc6-8bc4-5facbc86e0a0,,MEDIUM,0.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 37; printed p. 160; PDF p. 162,chatgpt-qb-runner-v1.0,,TAG023|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B167-Q009,1,7a66cb3a-470c-4ae3-ae32-325cf327c9f9,L37,e10a6148-3531-4d88-8de7-cebe4ef4a2ee,L37-S04,,CLOZE_CONTEXT,"À la réception d’un hôtel de montagne, une personne dit : « Je vais détester ___ attendre longtemps. » Quelle complétion est grammaticalement attendue ? Le référent du projet note la construction retenue dans son carnet.",fr,∅,à,de,pour,fr,A,"Les verbes de goût ou de projet présentés ici — adorer, détester, espérer, penser — sont directement suivis de l’infinitif, sans préposition. Le livre oppose explicitement « J’espère partir » à la forme fautive avec de.","Correct. Les verbes de goût ou de projet présentés ici — adorer, détester, espérer, penser — sont directement suivis de l’infinitif, sans préposition. Le livre oppose explicitement « J’espère partir » à la forme fautive avec de.",Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,fr,,f5ae0af5-9863-51b3-973f-6e96989a3ea2,fdb8aa88-05b9-5110-ad6b-fc74023f44a5,7588c3ac-fd52-5e8f-95a5-7a065e69e200,MEDIUM,0.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 37; printed p. 160; PDF p. 162,chatgpt-qb-runner-v1.0,,TAG023|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B167-Q010,1,7a66cb3a-470c-4ae3-ae32-325cf327c9f9,L37,ffa4a61a-e05e-417b-a5e6-168c69de6a8f,L37-S05,,CLOZE_CONTEXT,"Dans une discussion sur un dossier de bourse, l’animateur formule une idée générale : « ___ permet de garder une bonne routine. » Choisissez l’infinitif sujet sans préposition. Une étudiante en mobilité note la construction retenue dans son carnet.",fr,De lire,Lire,À lire,Pour lire,fr,B,"Quand l’infinitif lui-même sert de sujet ou exprime une activité générale, il n’est pas précédé d’une préposition : « Marcher, courir, bouger est bon pour la santé. »",Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,"Correct. Quand l’infinitif lui-même sert de sujet ou exprime une activité générale, il n’est pas précédé d’une préposition : « Marcher, courir, bouger est bon pour la santé. »",Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,fr,dc47e5ff-43db-5a27-9a09-2a966c4a5dbb,,6f7a6d6a-ab84-5713-bc77-97e125a14e0e,805e93ad-2220-5cb3-82ae-d11014fb0a47,MEDIUM,0.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 37; printed p. 160; PDF p. 162,chatgpt-qb-runner-v1.0,,TAG023|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B167-Q011,1,7a66cb3a-470c-4ae3-ae32-325cf327c9f9,L37,a22f7994-4792-420b-bb49-d752095e75e7,L37-S01,,CLOZE_CONTEXT,"Au cours d’une séance de mentorat professionnel, une personne dit : « Je vais finir ___ rédiger le rapport. » Quelle complétion est grammaticalement attendue ? La responsable pédagogique explique brièvement pourquoi la préposition convient.",fr,à,∅,de,pour,fr,C,"Plusieurs verbes courants imposent lexicalement « de + infinitif » : accepter de, arrêter de, décider de, essayer de, finir de, oublier de, refuser de, regretter de, rêver de, s’arrêter de, se dépêcher de.",Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,"Correct. Plusieurs verbes courants imposent lexicalement « de + infinitif » : accepter de, arrêter de, décider de, essayer de, finir de, oublier de, refuser de, regretter de, rêver de, s’arrêter de, se dépêcher de.",Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,fr,e36096be-b783-599a-9a6d-252704705116,50415b1c-ce1d-5610-b266-c14d6ea508cb,,593ead56-d46f-5915-a1e7-3cc691cc91b5,HARD,0.70,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 37; printed p. 160; PDF p. 162,chatgpt-qb-runner-v1.0,,TAG023|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B167-Q012,1,7a66cb3a-470c-4ae3-ae32-325cf327c9f9,L37,43f5d0f3-32de-4e07-87d7-2f23f9fd82ba,L37-S02,,CLOZE_CONTEXT,"Dans une bibliothèque universitaire, une personne dit : « Je vais chercher ___ comprendre la consigne. » Quelle complétion est grammaticalement attendue ? Un candidat soigneux explique brièvement pourquoi la préposition convient.",fr,de,pour,∅ (aucune préposition),à,fr,D,"Plusieurs verbes courants imposent lexicalement « à + infinitif » : apprendre à, aider quelqu’un à, arriver à, chercher à, commencer à, continuer à, hésiter à, inviter quelqu’un à, réussir à, se mettre à.",Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,"Correct. Plusieurs verbes courants imposent lexicalement « à + infinitif » : apprendre à, aider quelqu’un à, arriver à, chercher à, commencer à, continuer à, hésiter à, inviter quelqu’un à, réussir à, se mettre à.",fr,463f84ab-4dd3-52f7-891b-b1dc9ae4fce0,f37749e4-1c0a-571c-a2c9-af6363d36984,a8531911-41fe-514c-a4f5-e70ecdaa4df3,,HARD,0.70,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 37; printed p. 160; PDF p. 162,chatgpt-qb-runner-v1.0,,TAG023|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B167-Q013,1,7a66cb3a-470c-4ae3-ae32-325cf327c9f9,L37,efee7130-8410-42d5-b69e-3236ccdea740,L37-S03,,CLOZE_CONTEXT,"Pendant une réunion de bénévoles, une personne dit : « Je vais être pressé ___ rentrer chez moi. » Quelle complétion est grammaticalement attendue ? La médiatrice du service explique brièvement pourquoi la préposition convient.",fr,de,à,∅,pour,fr,A,"Après certains adjectifs et noms on emploie souvent « de » (content de, heureux de, pressé de, envie de, peur de, habitude de), tandis que des constructions comme prêt à, habitué à, avoir du mal à, avoir tendance à exigent « à ».","Correct. Après certains adjectifs et noms on emploie souvent « de » (content de, heureux de, pressé de, envie de, peur de, habitude de), tandis que des constructions comme prêt à, habitué à, avoir du mal à, avoir tendance à exigent « à ».",Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,fr,,19ef3561-b32d-5302-b285-3aec35a14491,2d29b163-0748-5be0-af0b-c913b1c28b6e,fa050066-5bb3-5cc6-8bc4-5facbc86e0a0,HARD,0.70,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 37; printed p. 160; PDF p. 162,chatgpt-qb-runner-v1.0,,TAG023|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B167-Q014,1,7a66cb3a-470c-4ae3-ae32-325cf327c9f9,L37,e10a6148-3531-4d88-8de7-cebe4ef4a2ee,L37-S04,,CLOZE_CONTEXT,"À l’entrée d’un centre de congrès, une personne dit : « Je vais espérer ___ trouver une solution. » Quelle complétion est grammaticalement attendue ? Une collègue expérimentée explique brièvement pourquoi la préposition convient.",fr,à,∅,de,pour,fr,B,"Les verbes de goût ou de projet présentés ici — adorer, détester, espérer, penser — sont directement suivis de l’infinitif, sans préposition. Le livre oppose explicitement « J’espère partir » à la forme fautive avec de.",Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,"Correct. Les verbes de goût ou de projet présentés ici — adorer, détester, espérer, penser — sont directement suivis de l’infinitif, sans préposition. Le livre oppose explicitement « J’espère partir » à la forme fautive avec de.",Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,fr,f5ae0af5-9863-51b3-973f-6e96989a3ea2,,fdb8aa88-05b9-5110-ad6b-fc74023f44a5,7588c3ac-fd52-5e8f-95a5-7a065e69e200,HARD,0.70,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 37; printed p. 160; PDF p. 162,chatgpt-qb-runner-v1.0,,TAG023|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B167-Q015,1,7a66cb3a-470c-4ae3-ae32-325cf327c9f9,L37,ffa4a61a-e05e-417b-a5e6-168c69de6a8f,L37-S05,,CLOZE_CONTEXT,"Dans un studio de podcast avant l’enregistrement, l’animateur formule une idée générale : « ___ permet de garder une bonne routine. » Choisissez l’infinitif sujet sans préposition. Le coordinateur de séance explique brièvement pourquoi la préposition convient.",fr,De dormir suffisamment,À dormir suffisamment,Dormir suffisamment,Pour dormir suffisamment,fr,C,"Quand l’infinitif lui-même sert de sujet ou exprime une activité générale, il n’est pas précédé d’une préposition : « Marcher, courir, bouger est bon pour la santé. »",Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,"Correct. Quand l’infinitif lui-même sert de sujet ou exprime une activité générale, il n’est pas précédé d’une préposition : « Marcher, courir, bouger est bon pour la santé. »",Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,fr,dc47e5ff-43db-5a27-9a09-2a966c4a5dbb,6f7a6d6a-ab84-5713-bc77-97e125a14e0e,,805e93ad-2220-5cb3-82ae-d11014fb0a47,VERY_HARD,0.90,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 37; printed p. 160; PDF p. 162,chatgpt-qb-runner-v1.0,,TAG023|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B167-Q016,1,7a66cb3a-470c-4ae3-ae32-325cf327c9f9,L37,a22f7994-4792-420b-bb49-d752095e75e7,L37-S01,,CORRECT_SENTENCE,"Au cours d’un rendez-vous avec une association, quelle phrase complète est correcte selon la rection présentée dans la leçon ? Une membre de l’équipe explique brièvement pourquoi la préposition convient.",fr,Nous décidons à reporter la réunion.,Nous décidons reporter la réunion.,Nous décidons pour reporter la réunion.,Nous décidons de reporter la réunion.,fr,D,"Plusieurs verbes courants imposent lexicalement « de + infinitif » : accepter de, arrêter de, décider de, essayer de, finir de, oublier de, refuser de, regretter de, rêver de, s’arrêter de, se dépêcher de.",Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,"Correct. Plusieurs verbes courants imposent lexicalement « de + infinitif » : accepter de, arrêter de, décider de, essayer de, finir de, oublier de, refuser de, regretter de, rêver de, s’arrêter de, se dépêcher de.",fr,e36096be-b783-599a-9a6d-252704705116,50415b1c-ce1d-5610-b266-c14d6ea508cb,593ead56-d46f-5915-a1e7-3cc691cc91b5,,EASY,0.20,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 37; printed p. 160; PDF p. 162,chatgpt-qb-runner-v1.0,,TAG023|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B167-Q017,1,7a66cb3a-470c-4ae3-ae32-325cf327c9f9,L37,43f5d0f3-32de-4e07-87d7-2f23f9fd82ba,L37-S02,,CORRECT_SENTENCE,"Dans un espace d’attente d’une mairie, quelle phrase complète est correcte selon la rection présentée dans la leçon ? Le formateur du jour explique brièvement pourquoi la préposition convient.",fr,Elle commence à préparer le dossier.,Elle commence de préparer le dossier.,Elle commence préparer le dossier.,Elle commence pour préparer le dossier.,fr,A,"Plusieurs verbes courants imposent lexicalement « à + infinitif » : apprendre à, aider quelqu’un à, arriver à, chercher à, commencer à, continuer à, hésiter à, inviter quelqu’un à, réussir à, se mettre à.","Correct. Plusieurs verbes courants imposent lexicalement « à + infinitif » : apprendre à, aider quelqu’un à, arriver à, chercher à, commencer à, continuer à, hésiter à, inviter quelqu’un à, réussir à, se mettre à.",Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,fr,,463f84ab-4dd3-52f7-891b-b1dc9ae4fce0,f37749e4-1c0a-571c-a2c9-af6363d36984,a8531911-41fe-514c-a4f5-e70ecdaa4df3,MEDIUM,0.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 37; printed p. 160; PDF p. 162,chatgpt-qb-runner-v1.0,,TAG023|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B167-Q018,1,7a66cb3a-470c-4ae3-ae32-325cf327c9f9,L37,efee7130-8410-42d5-b69e-3236ccdea740,L37-S03,,CORRECT_SENTENCE,"Pendant une répétition musicale, quelle phrase complète est correcte selon la rection présentée dans la leçon ? Une personne accueillie explique brièvement pourquoi la préposition convient. Le sens lexical reste inchangé; seule la liaison avec l’infinitif est testée.",fr,Nous avons envie à visiter le musée.,Nous avons envie de visiter le musée.,Nous avons envie visiter le musée.,Nous avons envie pour visiter le musée.,fr,B,"Après certains adjectifs et noms on emploie souvent « de » (content de, heureux de, pressé de, envie de, peur de, habitude de), tandis que des constructions comme prêt à, habitué à, avoir du mal à, avoir tendance à exigent « à ».",Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,"Correct. Après certains adjectifs et noms on emploie souvent « de » (content de, heureux de, pressé de, envie de, peur de, habitude de), tandis que des constructions comme prêt à, habitué à, avoir du mal à, avoir tendance à exigent « à ».",Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,fr,19ef3561-b32d-5302-b285-3aec35a14491,,2d29b163-0748-5be0-af0b-c913b1c28b6e,fa050066-5bb3-5cc6-8bc4-5facbc86e0a0,HARD,0.70,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 37; printed p. 160; PDF p. 162,chatgpt-qb-runner-v1.0,,TAG023|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B167-Q019,1,7a66cb3a-470c-4ae3-ae32-325cf327c9f9,L37,e10a6148-3531-4d88-8de7-cebe4ef4a2ee,L37-S04,,INCORRECT_SENTENCE,"Au bureau d’une coopérative locale, une seule phrase contient une préposition incompatible avec la structure étudiée. Laquelle ? Le référent du projet explique brièvement pourquoi la préposition convient.",fr,J’espère partir demain.,J’adore voyager seul.,Je pense de revenir lundi.,Elle déteste attendre.,fr,C,"Les verbes de goût ou de projet présentés ici — adorer, détester, espérer, penser — sont directement suivis de l’infinitif, sans préposition. Le livre oppose explicitement « J’espère partir » à la forme fautive avec de.",Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,"Correct. Les verbes de goût ou de projet présentés ici — adorer, détester, espérer, penser — sont directement suivis de l’infinitif, sans préposition. Le livre oppose explicitement « J’espère partir » à la forme fautive avec de.",Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,fr,f5ae0af5-9863-51b3-973f-6e96989a3ea2,fdb8aa88-05b9-5110-ad6b-fc74023f44a5,,7588c3ac-fd52-5e8f-95a5-7a065e69e200,EASY,0.20,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 37; printed p. 160; PDF p. 162,chatgpt-qb-runner-v1.0,,TAG023|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B167-Q020,1,7a66cb3a-470c-4ae3-ae32-325cf327c9f9,L37,ffa4a61a-e05e-417b-a5e6-168c69de6a8f,L37-S05,,INCORRECT_SENTENCE,"Dans une conversation sur une formation prochaine, une seule phrase contient une préposition incompatible avec la structure étudiée. Laquelle ? Une étudiante en mobilité explique brièvement pourquoi la préposition convient. Le contexte oppose explicitement deux constructions lexicales apprises dans la même leçon.",fr,Marcher fait du bien.,Lire aide à apprendre.,Dormir suffisamment est important.,De voyager ouvre l’esprit.,fr,D,"Quand l’infinitif lui-même sert de sujet ou exprime une activité générale, il n’est pas précédé d’une préposition : « Marcher, courir, bouger est bon pour la santé. »",Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,Incorrect. Cette option applique une préposition ou une structure qui ne correspond pas à la rection ciblée dans ce contexte.,"Correct. Quand l’infinitif lui-même sert de sujet ou exprime une activité générale, il n’est pas précédé d’une préposition : « Marcher, courir, bouger est bon pour la santé. »",fr,dc47e5ff-43db-5a27-9a09-2a966c4a5dbb,6f7a6d6a-ab84-5713-bc77-97e125a14e0e,805e93ad-2220-5cb3-82ae-d11014fb0a47,,MEDIUM,0.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 37; printed p. 160; PDF p. 162,chatgpt-qb-runner-v1.0,,TAG023|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
