schema_version,external_id,question_revision,lesson_id,lesson_code,subtopic_id,subtopic_code,secondary_subtopic_ids,question_type,stem,stem_locale,option_a,option_b,option_c,option_d,option_locale,correct_option,full_explanation,explanation_a,explanation_b,explanation_c,explanation_d,explanation_locale,misconception_a_id,misconception_b_id,misconception_c_id,misconception_d_id,difficulty,difficulty_score_initial,difficulty_model_version,status,source_type,source_ref,author_id,reviewer_id,tags,media_type,media_uri,media_alt_text,media_transcript,media_source_ref,taxonomy_version,question_type_catalogue_version,compatibility_version,distractor_rules_version,content_version
question-import-schema-v0.9.0,GMP-FULL-B171-Q047,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,0b71d77b-bd78-48ad-bc64-fbdc9dfb7d17,L38-S02,,CONTRAST_RULES,Quelle paire respecte la différence « retourner / revenir » ?,fr-FR,"Je reviens à Nice loin de toi / Attends-moi ici, je retourne ailleurs.",Je rentre le musée / Je visite ma sœur.,"Je retourne à Nice demain / Attends-moi ici, je reviens.",Je retourne avec nous / Je reviens à visiter.,fr-FR,C,« Retourner » reprend l’idée d’« aller » une nouvelle fois ; « revenir » reprend celle de « venir » une nouvelle fois vers le repère.,Incorrect. Cette option ne respecte pas la règle ou la perspective de déplacement ciblée dans ce contexte.,Incorrect. Cette option ne respecte pas la règle ou la perspective de déplacement ciblée dans ce contexte.,« Retourner » reprend l’idée d’« aller » une nouvelle fois ; « revenir » reprend celle de « venir » une nouvelle fois vers le repère.,Incorrect. Cette option ne respecte pas la règle ou la perspective de déplacement ciblée dans ce contexte.,fr-FR,f5ae0af5-9863-51b3-973f-6e96989a3ea2,fdb8aa88-05b9-5110-ad6b-fc74023f44a5,,6f7a6d6a-ab84-5713-bc77-97e125a14e0e,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B171-Q048,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,915bb937-ae94-4d2a-9e18-f40310946474,L38-S03,,CONTRAST_RULES,Quelle règle explique le mieux pourquoi « Je rentre chez moi » est plus précis que « Je reviens » dans ce contexte ?,fr-FR,« Rentrer » signifie visiter un domicile.,« Revenir » exige toujours « chez moi ».,« Rentrer » doit être suivi de « à + infinitif ».,« Rentrer » indique spécifiquement le retour au domicile.,fr-FR,D,"Dans ce chapitre, « rentrer » précise le retour à son domicile ou à son pays d’origine.",Incorrect. Cette option ne respecte pas la règle ou la perspective de déplacement ciblée dans ce contexte.,Incorrect. Cette option ne respecte pas la règle ou la perspective de déplacement ciblée dans ce contexte.,Incorrect. Cette option ne respecte pas la règle ou la perspective de déplacement ciblée dans ce contexte.,"Dans ce chapitre, « rentrer » précise le retour à son domicile ou à son pays d’origine.",fr-FR,6f7a6d6a-ab84-5713-bc77-97e125a14e0e,805e93ad-2220-5cb3-82ae-d11014fb0a47,e36096be-b783-599a-9a6d-252704705116,,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B171-Q049,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,a11e9294-f086-45ad-a720-b4f8d3582754,L38-S04,,CONTRAST_RULES,Quelle formulation applique correctement la règle particulière liée à « avec moi / avec nous » ?,fr-FR,On dit naturellement « Tu viens avec nous ? » dans la règle ciblée.,La règle impose « Tu vas avec nous ? » dans tous les cas.,« Avec nous » exige toujours « retourner ».,« Avec moi » transforme le verbe suivant en infinitif avec « de ».,fr-FR,A,Le livre signale explicitement que « avec moi » et « avec nous » se construisent avec « venir » dans ce cadre.,Le livre signale explicitement que « avec moi » et « avec nous » se construisent avec « venir » dans ce cadre.,Incorrect. Cette option ne respecte pas la règle ou la perspective de déplacement ciblée dans ce contexte.,Incorrect. Cette option ne respecte pas la règle ou la perspective de déplacement ciblée dans ce contexte.,Incorrect. Cette option ne respecte pas la règle ou la perspective de déplacement ciblée dans ce contexte.,fr-FR,,fa050066-5bb3-5cc6-8bc4-5facbc86e0a0,dc47e5ff-43db-5a27-9a09-2a966c4a5dbb,50415b1c-ce1d-5610-b266-c14d6ea508cb,VERY_HARD,3.55,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B171-Q050,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,74af5963-2c56-4f57-a963-8ab0161caf09,L38-S06,,CONTRAST_RULES,Quelle règle résume correctement « aller/venir voir » et « visiter » ?,fr-FR,On visite normalement une personne et on va voir uniquement un bâtiment.,On va/vient voir une personne ; on visite un lieu touristique.,« Visiter » exige toujours « chez » devant un lieu.,« Aller voir » et « visiter » sont interchangeables sans contrainte.,fr-FR,B,Le chapitre oppose explicitement « aller/venir voir + personne » à « visiter + lieu touristique ».,Incorrect. Cette option ne respecte pas la règle ou la perspective de déplacement ciblée dans ce contexte.,Le chapitre oppose explicitement « aller/venir voir + personne » à « visiter + lieu touristique ».,Incorrect. Cette option ne respecte pas la règle ou la perspective de déplacement ciblée dans ce contexte.,Incorrect. Cette option ne respecte pas la règle ou la perspective de déplacement ciblée dans ce contexte.,fr-FR,50415b1c-ce1d-5610-b266-c14d6ea508cb,,463f84ab-4dd3-52f7-891b-b1dc9ae4fce0,a8531911-41fe-514c-a4f5-e70ecdaa4df3,VERY_HARD,3.55,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B172-Q001,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,915bb937-ae94-4d2a-9e18-f40310946474,L38-S03,,CLOZE_SINGLE,Complétez : « La réunion est finie ; je ___ chez moi maintenant. »,fr-FR,viens,rentre,retourne,visite,fr-FR,B,« Rentrer » exprime ici le retour à son domicile.,Cette option ne respecte pas la règle ciblée. « Rentrer » exprime ici le retour à son domicile.,Cette option est correcte. « Rentrer » exprime ici le retour à son domicile.,Cette option ne respecte pas la règle ciblée. « Rentrer » exprime ici le retour à son domicile.,Cette option ne respecte pas la règle ciblée. « Rentrer » exprime ici le retour à son domicile.,fr-FR,e36096be-b783-599a-9a6d-252704705116,,50415b1c-ce1d-5610-b266-c14d6ea508cb,593ead56-d46f-5915-a1e7-3cc691cc91b5,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B172-Q002,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,49111ec0-5e20-4a63-ab7d-fe23554f62ac,L38-S01,,CLOZE_SINGLE,Vous êtes déjà dans le café. Complétez votre message à Léa : « Je t’attends près de la fenêtre ; tu ___ ? »,fr-FR,vas,viens,retournes,rentres,fr-FR,B,Le déplacement se fait vers le lieu où se trouve le locuteur : on emploie « venir ».,Cette option ne respecte pas la règle ciblée. Le déplacement se fait vers le lieu où se trouve le locuteur : on emploie « venir ».,Cette option est correcte. Le déplacement se fait vers le lieu où se trouve le locuteur : on emploie « venir ».,Cette option ne respecte pas la règle ciblée. Le déplacement se fait vers le lieu où se trouve le locuteur : on emploie « venir ».,Cette option ne respecte pas la règle ciblée. Le déplacement se fait vers le lieu où se trouve le locuteur : on emploie « venir ».,fr-FR,463f84ab-4dd3-52f7-891b-b1dc9ae4fce0,,f37749e4-1c0a-571c-a2c9-af6363d36984,a8531911-41fe-514c-a4f5-e70ecdaa4df3,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B172-Q003,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,0b71d77b-bd78-48ad-bc64-fbdc9dfb7d17,L38-S02,,CLOZE_SINGLE,Complétez : « Le technicien sort chercher une pièce et il ___ à l’atelier dans dix minutes. »,fr-FR,retourne,rentre,va,revient,fr-FR,D,"Le retour se fait vers le point de référence, l’atelier : « revenir » convient.","Cette option ne respecte pas la règle ciblée. Le retour se fait vers le point de référence, l’atelier : « revenir » convient.","Cette option ne respecte pas la règle ciblée. Le retour se fait vers le point de référence, l’atelier : « revenir » convient.","Cette option ne respecte pas la règle ciblée. Le retour se fait vers le point de référence, l’atelier : « revenir » convient.","Cette option est correcte. Le retour se fait vers le point de référence, l’atelier : « revenir » convient.",fr-FR,19ef3561-b32d-5302-b285-3aec35a14491,2d29b163-0748-5be0-af0b-c913b1c28b6e,fa050066-5bb3-5cc6-8bc4-5facbc86e0a0,,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B172-Q004,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,c690a2f0-9917-4311-8823-683acb6d8dba,L38-S05,,CLOZE_SINGLE,"Complétez sans ajouter de préposition : « À midi, je passe ___ le dossier à Sophie. »",fr-FR,à remettre,de remettre,pour remettre,remettre,fr-FR,D,"Après « passer » employé comme verbe de déplacement, l’infinitif de but se construit directement.","Cette option ne respecte pas la règle ciblée. Après « passer » employé comme verbe de déplacement, l’infinitif de but se construit directement.","Cette option ne respecte pas la règle ciblée. Après « passer » employé comme verbe de déplacement, l’infinitif de but se construit directement.","Cette option ne respecte pas la règle ciblée. Après « passer » employé comme verbe de déplacement, l’infinitif de but se construit directement.","Cette option est correcte. Après « passer » employé comme verbe de déplacement, l’infinitif de but se construit directement.",fr-FR,f5ae0af5-9863-51b3-973f-6e96989a3ea2,fdb8aa88-05b9-5110-ad6b-fc74023f44a5,7588c3ac-fd52-5e8f-95a5-7a065e69e200,,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B172-Q005,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,74af5963-2c56-4f57-a963-8ab0161caf09,L38-S06,,CLOZE_SINGLE,"Complétez selon la distinction du chapitre : « Pendant notre séjour à Rome, nous allons ___ le Colisée. »",fr-FR,visiter,voir à,visiter chez,venir voir,fr-FR,A,Un lieu touristique se construit avec « visiter ».,Cette option est correcte. Un lieu touristique se construit avec « visiter ».,Cette option ne respecte pas la règle ciblée. Un lieu touristique se construit avec « visiter ».,Cette option ne respecte pas la règle ciblée. Un lieu touristique se construit avec « visiter ».,Cette option ne respecte pas la règle ciblée. Un lieu touristique se construit avec « visiter ».,fr-FR,,dc47e5ff-43db-5a27-9a09-2a966c4a5dbb,6f7a6d6a-ab84-5713-bc77-97e125a14e0e,805e93ad-2220-5cb3-82ae-d11014fb0a47,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B172-Q006,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,a11e9294-f086-45ad-a720-b4f8d3582754,L38-S04,,CLOZE_SINGLE,Complétez l’invitation conforme à la règle spéciale : « On part à la piscine ; est-ce que tu ___ avec nous ? »,fr-FR,vas,viens,rentres,retournes,fr-FR,B,"Avec « avec nous », le chapitre recommande « venir ».","Cette option ne respecte pas la règle ciblée. Avec « avec nous », le chapitre recommande « venir ».","Cette option est correcte. Avec « avec nous », le chapitre recommande « venir ».","Cette option ne respecte pas la règle ciblée. Avec « avec nous », le chapitre recommande « venir ».","Cette option ne respecte pas la règle ciblée. Avec « avec nous », le chapitre recommande « venir ».",fr-FR,e36096be-b783-599a-9a6d-252704705116,,50415b1c-ce1d-5610-b266-c14d6ea508cb,593ead56-d46f-5915-a1e7-3cc691cc91b5,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B172-Q007,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,74af5963-2c56-4f57-a963-8ab0161caf09,L38-S06,,CLOZE_CONTEXT,"Vous parlez de votre grand-père, qui habite à Lille : « Dimanche, je vais ___ mon grand-père. »",fr-FR,visiter,aller à visiter,voir,visiter chez,fr-FR,C,"Pour une personne, le chapitre emploie « aller voir » et non « visiter ».","Cette option ne respecte pas la règle ciblée. Pour une personne, le chapitre emploie « aller voir » et non « visiter ».","Cette option ne respecte pas la règle ciblée. Pour une personne, le chapitre emploie « aller voir » et non « visiter ».","Cette option est correcte. Pour une personne, le chapitre emploie « aller voir » et non « visiter ».","Cette option ne respecte pas la règle ciblée. Pour une personne, le chapitre emploie « aller voir » et non « visiter ».",fr-FR,463f84ab-4dd3-52f7-891b-b1dc9ae4fce0,f37749e4-1c0a-571c-a2c9-af6363d36984,,a8531911-41fe-514c-a4f5-e70ecdaa4df3,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B172-Q008,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,915bb937-ae94-4d2a-9e18-f40310946474,L38-S03,,CLOZE_CONTEXT,"Après une semaine de vacances, Hugo arrive devant son appartement avec ses valises. Il dit : « Enfin, je ___ ! »",fr-FR,reviens au musée,retourne ailleurs,viens avec moi,rentre chez moi,fr-FR,D,Le contexte indique un retour au domicile : « rentrer chez moi » est la formulation ciblée.,Cette option ne respecte pas la règle ciblée. Le contexte indique un retour au domicile : « rentrer chez moi » est la formulation ciblée.,Cette option ne respecte pas la règle ciblée. Le contexte indique un retour au domicile : « rentrer chez moi » est la formulation ciblée.,Cette option ne respecte pas la règle ciblée. Le contexte indique un retour au domicile : « rentrer chez moi » est la formulation ciblée.,Cette option est correcte. Le contexte indique un retour au domicile : « rentrer chez moi » est la formulation ciblée.,fr-FR,19ef3561-b32d-5302-b285-3aec35a14491,2d29b163-0748-5be0-af0b-c913b1c28b6e,fa050066-5bb3-5cc6-8bc4-5facbc86e0a0,,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B172-Q009,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,49111ec0-5e20-4a63-ab7d-fe23554f62ac,L38-S01,,CLOZE_CONTEXT,"Vous êtes à la réception de l’hôtel. Votre collègue est encore dans sa chambre. Vous l’appelez : « La navette part dans cinq minutes, ___ vite ici ! »",fr-FR,viens,va,retourne,rentre,fr-FR,A,Le collègue doit se déplacer vers le lieu où se trouve le locuteur.,Cette option est correcte. Le collègue doit se déplacer vers le lieu où se trouve le locuteur.,Cette option ne respecte pas la règle ciblée. Le collègue doit se déplacer vers le lieu où se trouve le locuteur.,Cette option ne respecte pas la règle ciblée. Le collègue doit se déplacer vers le lieu où se trouve le locuteur.,Cette option ne respecte pas la règle ciblée. Le collègue doit se déplacer vers le lieu où se trouve le locuteur.,fr-FR,,f5ae0af5-9863-51b3-973f-6e96989a3ea2,fdb8aa88-05b9-5110-ad6b-fc74023f44a5,7588c3ac-fd52-5e8f-95a5-7a065e69e200,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B172-Q010,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,0b71d77b-bd78-48ad-bc64-fbdc9dfb7d17,L38-S02,,CLOZE_CONTEXT,"Élodie quitte la salle de cours pour imprimer un document. Avant de sortir, elle dit : « Gardez ma place, je ___ tout de suite. »",fr-FR,retourne,reviens,rentre,vais,fr-FR,B,Elle annonce son retour vers le même point de référence : « je reviens ».,Cette option ne respecte pas la règle ciblée. Elle annonce son retour vers le même point de référence : « je reviens ».,Cette option est correcte. Elle annonce son retour vers le même point de référence : « je reviens ».,Cette option ne respecte pas la règle ciblée. Elle annonce son retour vers le même point de référence : « je reviens ».,Cette option ne respecte pas la règle ciblée. Elle annonce son retour vers le même point de référence : « je reviens ».,fr-FR,dc47e5ff-43db-5a27-9a09-2a966c4a5dbb,,6f7a6d6a-ab84-5713-bc77-97e125a14e0e,805e93ad-2220-5cb3-82ae-d11014fb0a47,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B172-Q011,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,c690a2f0-9917-4311-8823-683acb6d8dba,L38-S05,,CLOZE_CONTEXT,Un voisin frappe à votre porte et explique le but de son déplacement : « Je viens ___ un outil que je vous ai prêté. »,fr-FR,à reprendre,de reprendre,reprendre,pour à reprendre,fr-FR,C,"Après « venir » de déplacement, le but peut être exprimé par l’infinitif sans préposition.","Cette option ne respecte pas la règle ciblée. Après « venir » de déplacement, le but peut être exprimé par l’infinitif sans préposition.","Cette option ne respecte pas la règle ciblée. Après « venir » de déplacement, le but peut être exprimé par l’infinitif sans préposition.","Cette option est correcte. Après « venir » de déplacement, le but peut être exprimé par l’infinitif sans préposition.","Cette option ne respecte pas la règle ciblée. Après « venir » de déplacement, le but peut être exprimé par l’infinitif sans préposition.",fr-FR,e36096be-b783-599a-9a6d-252704705116,50415b1c-ce1d-5610-b266-c14d6ea508cb,,593ead56-d46f-5915-a1e7-3cc691cc91b5,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B172-Q012,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,74af5963-2c56-4f57-a963-8ab0161caf09,L38-S06,,CLOZE_CONTEXT,"Vous organisez deux activités distinctes : rencontrer votre tante et découvrir le musée d’Orsay. Quelle phrase complète correctement le programme ? « Samedi, je vais voir ma tante et dimanche, je vais ___ le musée d’Orsay. »",fr-FR,voir chez,venir voir,visiter chez,visiter,fr-FR,D,"La personne se construit avec « voir », tandis que le lieu touristique se construit avec « visiter ».","Cette option ne respecte pas la règle ciblée. La personne se construit avec « voir », tandis que le lieu touristique se construit avec « visiter ».","Cette option ne respecte pas la règle ciblée. La personne se construit avec « voir », tandis que le lieu touristique se construit avec « visiter ».","Cette option ne respecte pas la règle ciblée. La personne se construit avec « voir », tandis que le lieu touristique se construit avec « visiter ».","Cette option est correcte. La personne se construit avec « voir », tandis que le lieu touristique se construit avec « visiter ».",fr-FR,463f84ab-4dd3-52f7-891b-b1dc9ae4fce0,f37749e4-1c0a-571c-a2c9-af6363d36984,a8531911-41fe-514c-a4f5-e70ecdaa4df3,,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B172-Q013,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,a11e9294-f086-45ad-a720-b4f8d3582754,L38-S04,,CLOZE_CONTEXT,"Vous êtes quatre collègues déjà réunis devant l’immeuble. Vous téléphonez à Nora, restée au bureau, pour qu’elle se joigne au groupe : « Nora, tu ___ avec nous jusqu’au restaurant ? »",fr-FR,viens,vas,retournes,rentres,fr-FR,A,"Le groupe contenant le locuteur constitue le centre de déplacement ; avec « avec nous », on emploie « venir ».","Cette option est correcte. Le groupe contenant le locuteur constitue le centre de déplacement ; avec « avec nous », on emploie « venir ».","Cette option ne respecte pas la règle ciblée. Le groupe contenant le locuteur constitue le centre de déplacement ; avec « avec nous », on emploie « venir ».","Cette option ne respecte pas la règle ciblée. Le groupe contenant le locuteur constitue le centre de déplacement ; avec « avec nous », on emploie « venir ».","Cette option ne respecte pas la règle ciblée. Le groupe contenant le locuteur constitue le centre de déplacement ; avec « avec nous », on emploie « venir ».",fr-FR,,19ef3561-b32d-5302-b285-3aec35a14491,2d29b163-0748-5be0-af0b-c913b1c28b6e,fa050066-5bb3-5cc6-8bc4-5facbc86e0a0,VERY_HARD,3.55,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B172-Q014,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,0b71d77b-bd78-48ad-bc64-fbdc9dfb7d17,L38-S02,,CLOZE_CONTEXT,"Marc vit à Nantes. Il est aujourd’hui à Rennes et prévoit un nouveau déplacement vers Nantes demain. Vous êtes à Rennes au moment où il parle. Il dit : « Demain, je ___ à Nantes. »",fr-FR,reviens,retourne,rentre ici,viens,fr-FR,B,Nantes est un autre lieu que le point de référence actuel ; « retourner » signifie y aller une nouvelle fois.,Cette option ne respecte pas la règle ciblée. Nantes est un autre lieu que le point de référence actuel ; « retourner » signifie y aller une nouvelle fois.,Cette option est correcte. Nantes est un autre lieu que le point de référence actuel ; « retourner » signifie y aller une nouvelle fois.,Cette option ne respecte pas la règle ciblée. Nantes est un autre lieu que le point de référence actuel ; « retourner » signifie y aller une nouvelle fois.,Cette option ne respecte pas la règle ciblée. Nantes est un autre lieu que le point de référence actuel ; « retourner » signifie y aller une nouvelle fois.,fr-FR,f5ae0af5-9863-51b3-973f-6e96989a3ea2,,fdb8aa88-05b9-5110-ad6b-fc74023f44a5,7588c3ac-fd52-5e8f-95a5-7a065e69e200,VERY_HARD,3.55,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B172-Q015,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,915bb937-ae94-4d2a-9e18-f40310946474,L38-S03,,CLOZE_CONTEXT,"Après plusieurs années au Canada, une famille française décide de s’installer de nouveau en France. Dans la terminologie du chapitre, elle peut dire : « Nous ___ en France l’an prochain. »",fr-FR,revenons au bureau,retournons avec nous,rentrons,visitons,fr-FR,C,« Rentrer » peut exprimer le retour dans son pays d’origine.,Cette option ne respecte pas la règle ciblée. « Rentrer » peut exprimer le retour dans son pays d’origine.,Cette option ne respecte pas la règle ciblée. « Rentrer » peut exprimer le retour dans son pays d’origine.,Cette option est correcte. « Rentrer » peut exprimer le retour dans son pays d’origine.,Cette option ne respecte pas la règle ciblée. « Rentrer » peut exprimer le retour dans son pays d’origine.,fr-FR,dc47e5ff-43db-5a27-9a09-2a966c4a5dbb,6f7a6d6a-ab84-5713-bc77-97e125a14e0e,,805e93ad-2220-5cb3-82ae-d11014fb0a47,VERY_HARD,3.55,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
